Date,P_Lake,TP_Lake_S
2008-01-31,249.48077271139965,262.92098460298763
2008-02-29,238.1007465144409,244.45080741770872
2008-03-31,224.6160380140209,234.07279380309743
2008-04-30,213.43507590492058,226.67197573238258
2008-05-31,192.0872896560216,207.88598873016923
2008-06-30,177.09142113768797,191.28279216259742
2008-07-31,176.04477766770435,186.1579429558765
2008-08-31,171.7813968020309,188.6765488654333
2008-09-30,186.72178974521606,211.03818122763607
2008-10-31,175.13528318671354,191.99167348326247
2008-11-30,184.42611781039028,172.04041200712982
2008-12-31,244.6535605111788,161.21963455585782
2009-01-31,226.5973511683347,151.23721516166015
2009-02-28,204.64994762433395,144.54261411141428
2009-03-31,182.14034392361287,136.0243093651692
2009-04-30,160.95219502448134,127.94646469004084
2009-05-31,146.79105163345955,124.58814526313391
2009-06-30,147.0273488080832,135.6121861645817
2009-07-31,142.475725681264,141.33144755037705
2009-08-31,135.466479179819,139.62227438490922
2009-09-30,136.63328968282184,132.7705751679966
2009-10-31,143.15266899310143,122.49034025198412
2009-11-30,140.5540868562417,111.9614077876631
2009-12-31,137.44880808646084,106.46307041124443
2010-01-31,130.0438120293272,102.64779556861157
2010-02-28,123.17828079855401,102.10373724579411
2010-03-31,119.64774243176439,105.9436871377273
2010-04-30,121.03466286067668,114.07563692596658
2010-05-31,114.3436899513199,112.81844302957188
2010-06-30,110.14619681312956,107.0057904730037
2010-07-31,117.58327726051283,102.25957047973556
2010-08-31,117.73064993891376,98.37702366917517
2010-09-30,111.97661272947501,96.771797634092
2010-10-31,108.58838591869862,91.59259118027374
2010-11-30,103.05920036615538,86.7217748479384
2010-12-31,102.94346084960324,84.62912603802124
2011-01-31,103.18919355465206,86.17509285657127
2011-02-28,100.4775905269767,87.5156891958945
2011-03-31,96.67718824446534,87.37952212792507
2011-04-30,94.8273491782583,89.17520816783552
2011-05-31,97.04208123804867,94.48945602169312
2011-06-30,107.06471302974418,106.48628864248944
2011-07-31,117.12646589957733,117.44187662327843
2011-08-31,121.76459453889572,123.73566256073615
2011-09-30,123.61897057213221,129.03677149675622
2011-10-31,127.97440144232762,138.24122404632405
2011-11-30,140.49362637762985,152.23283060404884
2011-12-31,137.86050210082766,144.91465856728158
2012-01-31,150.30849062051246,138.0896331712619
2012-02-29,172.13216698017894,136.15512266141084
2012-03-31,164.48825908859544,134.67323291458825
2012-04-30,151.9954447514716,130.2793595533268
2012-05-31,146.8183298383039,131.3473264155163
2012-06-30,142.2606076847471,132.89152409428283
2012-07-31,139.29496476341882,135.93833802087957
2012-08-31,134.2407379395929,135.5992172540871
2012-09-30,144.73243169568724,154.89086191226275
2012-10-31,145.442649800807,159.5664943140293
2012-11-30,141.99548828880643,152.13259442861076
2012-12-31,184.4525747872552,147.34047611015376
2013-01-31,207.94242718462598,146.95771077673166
2013-02-28,201.7291666721455,146.14411118589814
2013-03-31,190.798740584456,146.42433840526766
2013-04-30,182.22980028771173,145.9122812642984
2013-05-31,172.18567642568632,145.56030773609913
2013-06-30,165.8935490602711,149.06035476343746
2013-07-31,167.52213846815164,166.40446396660207
2013-08-31,170.7087279631003,183.60705667587317
2013-09-30,166.9562336229227,181.0964668094938
2013-10-31,189.66420469254933,177.00810475503502
2013-11-30,214.4016972852901,169.41512343125166
2013-12-31,215.38074993588535,165.37035806416162
2014-01-31,214.01052465002743,162.93445908797742
2014-02-28,206.8597141843745,164.8592480896428
2014-03-31,194.51866194455943,162.05947675214318
2014-04-30,182.17170490492757,159.06036105544325
2014-05-31,173.32057803849767,156.9770633800337
2014-06-30,164.84468508986828,154.30097497024192
2014-07-31,160.7413276511153,158.78679615364587
2014-08-31,159.6410534937425,165.2763289542442
2014-09-30,157.37798978489573,163.289161860281
2014-10-31,169.19173102484694,168.57850325978535
2014-11-30,178.80150835625707,164.10157862418308
2014-12-31,179.36517716310115,162.26067931213285
2015-01-31,188.13326458171554,161.92181068394592
2015-02-28,187.07201883303674,166.28527231488468
2015-03-31,185.75845637478398,172.43179562708912
2015-04-30,176.4177748651345,167.44211637832362
2015-05-31,170.250163597723,165.96768490355964
2015-06-30,164.2009137468149,158.71669084149292
2015-07-31,156.10648348499413,152.63602902403844
2015-08-31,156.63430873616912,153.21362780295922
2015-09-30,164.73821272317198,168.2816681928289
2015-10-31,167.61012664497528,176.52085163132892
2015-11-30,164.27757771749896,171.06371546663064
2015-12-31,174.89536501693127,167.6518631125334
2016-01-31,181.75990879355086,166.72382137033284
2016-02-29,191.0033265834314,183.32187247363456
2016-03-31,189.9277911687957,183.1336795968083
2016-04-30,186.4344424414531,178.99764379809778
2016-05-31,202.87079330036863,176.42359652851192
2016-06-30,216.50413392876314,194.02873958319842
2016-07-31,213.49816525876938,200.36036426639023
2016-08-31,201.919910367843,192.50558023356638
2016-09-30,209.18083104062188,192.99694113093807
2016-10-31,219.42536982272628,205.1719180161376
2016-11-30,208.4033343699197,198.04534877171815
2016-12-31,208.76387757543992,188.41334333056463
2017-01-31,217.5973368198913,180.99863109657758
2017-02-28,209.772901295727,175.85437217132252
2017-03-31,195.38017615313439,169.44853657405983
2017-04-30,184.1379801332513,164.3632457845917
2017-05-31,178.13175596602764,162.6986801441009
2017-06-30,181.73831497847488,169.58034779599487
2017-07-31,181.85721325437737,176.59308021957514
2017-08-31,179.7977636496217,179.80256224560873
2017-09-30,192.91303060702714,197.16654749199918
2017-10-31,231.57796775914068,235.34890448982915
2017-11-30,235.81270889506047,237.51714786488043
2017-12-31,260.9540319672437,227.40559340554125
2018-01-31,320.5077602348091,221.69705356354226
2018-02-28,330.69455850769197,223.2492505255903
2018-03-31,310.2207493013689,217.90449779437003
2018-04-30,284.6675444971232,209.8045586355859
2018-05-31,266.27095767703065,207.9087898994818
2018-06-30,264.74512798928504,227.8651105183203
2018-07-31,254.118688248352,236.2953596502465
2018-08-31,245.5535920920695,238.2962895992964
2018-09-30,257.2262457405478,238.69846949912736
2018-10-31,256.24174760411603,230.38658120136444
2018-11-30,247.8121920329065,217.41684861084403
2018-12-31,230.3508836273008,198.61097035721664
